1509490633.06,IMD,Nova Descoberta,UberSELECT,1.29,9.0,7.0,300,R$7-9,BRL
1509490634.3,IMD,Nossa Senhora de Nazaré,uberX,3.02,13.0,9.0,600,R$9-13,BRL
1509490634.3,IMD,Nossa Senhora de Nazaré,UberSELECT,3.02,15.0,11.0,600,R$11-15,BRL
1509490636.69,IMD,Planalto,uberX,7.04,24.0,19.0,1140,R$19-24,BRL
1509490636.69,IMD,Planalto,UberSELECT,7.04,28.0,22.0,1140,R$22-28,BRL
1509490639.85,IMD,Cidade Nova,uberX,4.74,18.0,13.0,960,R$13-18,BRL
1509490639.85,IMD,Cidade Nova,UberSELECT,4.74,21.0,16.0,960,R$16-21,BRL
1509490642.7,IMD,Cidade da Esperança,uberX,3.65,14.0,10.0,660,R$10-14,BRL
1509490642.7,IMD,Cidade da Esperança,UberSELECT,3.65,16.0,12.0,660,R$12-16,BRL
1509490646.01,IMD,Igapó,uberX,7.88,26.0,21.0,1560,R$21-26,BRL
1509490646.01,IMD,Igapó,UberSELECT,7.88,31.0,24.0,1560,R$24-31,BRL
1509490648.86,EC&T,Tirol,uberX,3.79,14.0,11.0,600,R$11-14,BRL
1509490648.86,EC&T,Tirol,UberSELECT,3.79,17.0,13.0,600,R$13-17,BRL
1509490652.24,EC&T,Candelária,uberX,2.55,11.0,8.0,600,R$8-11,BRL
1509490652.24,EC&T,Candelária,UberSELECT,2.55,13.0,10.0,600,R$10-13,BRL
1509490653.46,EC&T,Ribeira,uberX,5.96,20.0,16.0,1080,R$16-20,BRL
1509490653.46,EC&T,Ribeira,UberSELECT,5.96,24.0,19.0,1080,R$19-24,BRL
1509490654.58,EC&T,Santos Reis,uberX,7.57,24.0,19.0,1380,R$19-24,BRL
1509490654.58,EC&T,Santos Reis,UberSELECT,7.57,29.0,23.0,1380,R$23-29,BRL
1509490657.87,EC&T,Nova Descoberta,uberX,2.44,11.0,8.0,420,R$8-11,BRL
1509490657.87,EC&T,Nova Descoberta,UberSELECT,2.44,12.0,9.0,420,R$9-12,BRL
1509490659.23,EC&T,Nossa Senhora de Nazaré,uberX,3.5,14.0,10.0,660,R$10-14,BRL
1509490659.23,EC&T,Nossa Senhora de Nazaré,UberSELECT,3.5,16.0,12.0,660,R$12-16,BRL
1509490662.03,EC&T,Planalto,uberX,6.09,22.0,17.0,1320,R$17-22,BRL
1509490662.03,EC&T,Planalto,UberSELECT,6.09,26.0,21.0,1320,R$21-26,BRL
1509490663.35,EC&T,Cidade Nova,uberX,5.22,19.0,15.0,1020,R$15-19,BRL
1509490663.35,EC&T,Cidade Nova,UberSELECT,5.22,23.0,18.0,1020,R$18-23,BRL
1509490665.99,EC&T,Cidade da Esperança,uberX,4.13,15.0,12.0,780,R$12-15,BRL
1509490665.99,EC&T,Cidade da Esperança,UberSELECT,4.13,18.0,14.0,780,R$14-18,BRL
1509490667.37,EC&T,Igapó,uberX,8.35,30.0,23.0,1980,R$23-30,BRL
1509490667.37,EC&T,Igapó,UberSELECT,8.35,35.0,28.0,1980,R$28-35,BRL
